ISBN,レーベル名,レーベル名カナ,タイトル,出版社名,出版社名カナ,作者名,作者名カナ,発売日,本体価格,版型
9784785963989,ヤングキングコミックス,ヤングキングコミックス,リリィシステム,少年画報社,ショウネンガホウシャ,吉富昭二,ヨシトミアキヒト,2019-03-11,680,B6
9784758079198,百合姫コミックス,ユリヒメコミックス,ゆりこん 2,一迅社,イチジンシャ,久川はる,ヒサカワハル,2019-03-18,680,B6
9784758079211,百合姫コミックス,ユリヒメコミックス,ルミナス=ブルー 1,一迅社,イチジンシャ,岩見樹代子,イワミキヨコ,2019-03-18,680,B6
9784758079229,百合姫コミックス,ユリヒメコミックス,マカロン アイドル百合アンソロジー,一迅社,イチジンシャ,None,None,2019-03-29,780,B6
9784758078689,百合姫コミックス,ユリヒメコミックス,ユリキュール アルコール百合アンソロジー,一迅社,イチジンシャ,None,None,2019-03-29,900,A5
9784040656069,MFコミックスalive,エムエフコミックスアライブ,あの娘にキスと白百合を 10,KADOKAWA,カドカワ,缶乃,カンノ,2019-03-23,1500,B6
9784049124422,電撃コミックスNEXT,デンゲキコミックスネクスト,吸血鬼ちゃん×後輩ちゃん 4,KADOKAWA,カドカワ,嵩乃朔,タカノサク,2019-03-24,570,B6
9784396791315,フィールコミックスジャム,フィールコミックスジャム,定時にあがれたら 1,祥伝社,ショウデンシャ,犬井あゆ,イヌイアユ,2019-04-08,880,A5
9784758079037,百合姫コミックス,ユリヒメコミックス,いとしこいし 1,一迅社,イチジンシャ,竹宮ジン,タケミヤジン,2019-01-18,680,B6
9784866750576,メテオCOMICS,メテオコミックス,春とみどり 1,フレックスコミックス,フレックスコミックス,深海紺,フカウミウミ,2019-04-11,630,B6
9784040731315,None,None,バリキャリと新卒,KADOKAWA,カドカワ,えすえす,エスエス,2019-04-15,900,A5
9784049124934,電撃コミックスNEXT,デンゲキコミックスネクスト,やがて君になる 7,KADOKAWA,カドカワ,仲谷鳰,ナカタニニオ,2019-04-26,650,B6
9784758079303,百合姫コミックス,ユリヒメコミックス,レズ風俗アンソロジー,一迅社,イチジンシャ,None,None,2019-04-26,680,B6
9784785964313,ヤングキングコミックス,ヤングキングコミックス,イブのおくすり,少年画報社,ショウネンガホウシャ,FLOWERCHILD,フラワーチャイルド,2019-05-10,650,B6
9784065134825,講談社コミックス,コウダンシャコミックス,将来的に死んでくれ 6,講談社,コウダンシャ,長門知大,ナガトチヒロ,2019-05-09,450,新書
9784758079273,百合姫コミックス,ユリヒメコミックス,月と恋は満ちれば欠ける。,一迅社,イチジンシャ,トクヲツム,トクヲツム,2019-04-18,852,A5
9784758079341,百合姫コミックス,ユリヒメコミックス,ワンナイトフレンド,一迅社,イチジンシャ,かやこ,カヤコ,2019-05-16,680,B6
9784758079421,百合姫コミックス,ユリヒメコミックス,三日月のカルテ 2,一迅社,イチジンシャ,七坂なな,ナナサカナナ,2019-05-16,680,B6
9784408415246,Ruelle comics,リュエルコミックス,エデンの処女 3,実業之日本社,ジツギョウノニホンシャ,渡邉嘘海,ワタナベウソミ,2019-05-16,680,B6
9784049124941,電撃コミックスNEXT,デンゲキコミックスネクスト,籠の少女は恋をする 3,KADOKAWA,カドカワ,川浪いずみ,カワナミイズミ,2019-04-26,680,B6
9784758074100,百合姫コミックス,ユリヒメコミックス,倒錯少女症候群,一迅社,イチジンシャ,shimazaki,シマザキ,2015-04-18,852,B6
9784091292162,サンデーうぇぶりコミックス,サンデーウェブリコミックス,はなにあらし 5,小学館,ショウガクカン,古鉢るか,コバチルカ,2018-05-10,600,B6
9784040657127,None,None,理想と恋,KADOKAWA,カドカワ,日野雄飛,ヒノヨウヘ,2019-04-22,630,B6
9784049125009,None,None,花香るとき、貴方は。 社会人百合アンソロジー,KADOKAWA,カドカワ,None,None,2019-04-27,780,B6
9784575853094,アクションコミックス,アクションコミックス,社会人百合アンソロジー シロップ,双葉社,フタバシャ,None,None,2019-05-11,780,B6
9784781617893,None,None,仕事の後は恋しよう,イーストプレス,イーストプレス,岩下継,イワシタケイ,2019-06-07,800,B6
9784758079419,百合姫コミックス,ユリヒメコミックス,すれ違い巨大感情百合アンソロジー,一迅社,イチジンシャ,None,None,2019-05-31,900,B6
9784758079297,百合姫コミックス,ユリヒメコミックス,ショコラ2 社会人百合アンソロジー,一迅社,イチジンシャ,none,none,2019-04−26,780,B6
9784758079396,百合姫コミックス,ユリヒメコミックス,屋上ぴかぴかロマンス 完全版,一迅社,イチジンシャ,大沢やよい,オオサワヤヨイ,2019-05-16,680,B6
9784758079389,百合姫コミックス,ユリヒメコミックス,ストレンジベイビーズ 完全版,一迅社,イチジンシャ,大沢やよい,オオサワヤヨイ,2019-05-16,680,B6
9784758079266,百合姫コミックス,ユリヒメコミックス,海猫荘days 1,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2019-05-16,680,B6
9784091292353,裏少年サンデーコミックス,ウラショウネンサンデーコミックス,付き合ってあげてもいいかな 2,小学館,ショウガクカン,たみふる,タミフル,2018-06-12,591,B6
9784758079501,百合姫コミックス,ユリヒメコミックス,ささやくように恋を唄う 1,一迅社,イチジンシャ,竹嶋えく,タケシマエク,2019-06-18,680,B6
9784758079518,百合姫コミックス,ユリヒメコミックス,グッバイ・ディストピア 3,一迅社,イチジンシャ,ひそな,ヒソナ,2019-06-18,680,B6
9784758079532,百合姫コミックス,ユリヒメコミックス,ガラスの靴を脱ぎ捨てて,一迅社,イチジンシャ,桐山はるか,キリヤマハルカ,2019-06-18,680,B6
9784758079556,百合姫コミックス,ユリヒメコミックス,NTR 　寝取られ百合アンソロジー,一迅社,イチジンシャ,None,None,2019-06-28,852,A5
9784049125917,電撃コミックスNEXT,デンゲキコミックスネクスト,熱帯魚は雪に焦がれる 5,KADOKAWA,カドカワ,萩埜まこと,ハギノマコト,2019-06-27,650,B6
9784758079549,百合姫コミックス,ユリヒメコミックス,カヌレ スール百合アンソロジー,一迅社,イチジンシャ,None,None,2019-06-28,780,B6
9784758079631,百合姫コミックス,ユリヒメコミックス,マーメイドライン 完全版,一迅社,イチジンシャ,金田一蓮十郎,キンダイチレンジュウロウ,2019-07-12,680,B6
9784832236851,芳文社コミックス,ホウブンシャコミックス,夜と海 2,芳文社,ホウブンシャ,郷本,ゴウモト,2019-07-16,620,B6
9784758079648,百合姫コミックス,ユリヒメコミックス,君が死ぬまで恋をしたい 2,一迅社,イチジンシャ,あおのなち,アオノナチ,2019-07-18,680,B6
9784758079655,百合姫コミックス,ユリヒメコミックス,割り切った関係ですから。 1,一迅社,イチジンシャ,FLOWERCHILD,フラワーチャイルド,2019-07-18,680,B6
9784801966635,バンブーコミックス,バンブーコミックス,できそこないの姫君たち 2,竹書房,タケショボウ,アジイチ,アジイチ,2019-06-28,660,B6
9784041083543,角川コミックスA,カドカワコミックスエース,私以外人類全員百合 1,KADOKAWA,カドカワ,晴瀬ひろき,ハルセヒロキ,2019-06-25,620,B6
9784864686518,ヒーローズコミックス,ヒーローズコミックス,神絵師JKとOL腐女子 1,小学館クリエイティブ,ショウガクカンクリエイティブ,さと,サト,2019-06-14,650,B6
9784047357143,None,None,憎らしいほど愛してる,KADOKAWA,カドカワ,ユニ,ユニ,2019-07-30,680,B6
9784049126600,None,None,私が酔いしれるのは、夏の陽射しと貴方だけ。 社会人百合アンソロジー,KADOKAWA,カドカワ,None,None,2019-07-26,830,B6
9784814802043,None,None,Avalon ~bloom~,GOT,ジーオーティー,None,None,2019-07-31,917,B6
9784814802050,None,None,Avalon Alter ~karma~,GOT,ジーオーティー,None,None,2019-07-31,917,B6
9784047357082,ビームコミックス,ビームコミックス,繭、纏う 2,KADOKAWA,カドカワ,原百合子,ハラユリコ,2019-08-10,720,B6
9784575853391,アクションコミックス,アクションコミックス,禁断×百合アンソロジー シロップ[secret],双葉社,フタバシャ,None,None,2019-08-08,780,B6
9784800008848,BLADE COMICS pixiv,ブレードコミックスピクシブ,Still Sick 2,マッグガーデン,マックガーデン,灯,アカリ,2018-08-09,600,B6
9784800008831,BLADE COMICS pixiv,ブレードコミックスピクシブ,さよならローズガーデン 2,マッグガーデン,マックガーデン,毒田ペパ子,ドクターペパコ,2019-08-09,630,B6
9784758078917,百合姫コミックス,ユリヒメコミックス,羽山先生と寺野先生は付き合っている 1,一迅社,イチジンシャ,黄井ぴかち,オオイピカチ,2018-12-18,680,B6
9784758079723,百合姫コミックス,ユリヒメコミックス,羽山先生と寺野先生は付き合っている 2,一迅社,イチジンシャ,黄井ぴかち,オオイピカチ,2019-08-16,680,B6
9784091575739,サンデーGXコミックス,サンデージーエックスコミックス,ヴァンピアーズ 1,小学館,ショウガクカン,アキリ,アキリ,2019-08-19,600,B6
9784065154243,モーニングKC,モーニングケーシー,わるいおんなのこ 4,講談社,コウダンシャ,佐久間結衣,サクマユイ,2019-05-07,630,B6
9784403671814,ひらり、コミックス,ヒラリコミックス,山田と加瀬さん。 1,新書館,シンショカン,高嶋ひろみ,タカシマヒロミ,2019-07-25,850,A5
978425323961,チャンピョンREDコミックス,チャンピョンレッドコミックス,当て馬カノジョ 1,秋田書店,アキタショテン,鈴菌カリオ,スズキンカリオ,2019-08-20,600,B6
9784758079686,百合姫コミックス,ユリヒメコミックス,教師×生徒の百合アンソロジー,一迅社,イチジンシャ,None,None,2019-07-31,900,A5
9784758068208,REXコミックス,レックスコミックス,今日、小柴葵に会えたら。 1,一迅社,イチジンシャ,フライ,フライ,2019-07-29,620,B6
9784758079679,百合姫コミックス,百合姫コミックス,異世界転生百合アンソロジー,一迅社,イイチジンシャ,None,None,2019-07-31,900,A5
9784758079754,百合姫コミックス,ユリヒメコミックス,ゆるゆり 17,一迅社,イチジンシャ,なもり,ナモリ,2019-08-29,1143,A5
9784344843226,BIRZ comics,バーズコミックス,ふたりべや 6,幻冬舎,ゲントウシャ,雪子,ユキコ,2018-10-24,630,B6
9784088820934,ジャンプコミックス+,ジャンプコミックスプラス,隣の部屋から喘ぎ声がするんですけど… 1,集英社,シュウエイシャ,鈴木先輩,スズキセンパイ,2019-09-04,600,B6
9784814802111,girls×garden comics,ガールズガーデンコミックス,レゾナンスブルー,GOT,ジーオーティー,ヨルモ,ヨルモ,2019-08-30,800,B6
9784814802128,girls×garden comics,ガールズガーデンコミックス,包帯少女期間,GOT,ジーオーティー,須藤佑実,スドウユミ,2019-08-30,800,B6
9784866252230,Lilie comics,リーリエコミックス,百合と声と風纏い 1,道玄坂書房,ドウゲンザカショボウ,蓮冥,レンメイ,2019-09-17,680,B6
9784758079792,百合姫コミックス,ユリヒメコミックス,それは春の嵐のように 1,一迅社,イチジンシャ,くるくる姫,クルクルヒメ,2019-09-18,852,A5
9784040658476,MFコミックスフラッパーシリーズ,エムエフコミックスフラッパーシリーズ,北陸とらいあんぐる 5,KADOKAWA,カドカワ,ちさこ,チサコ,2019-07-23,630,B6
9784049123548,it comics,イットコミックス,世界の終わりと魔女の恋 1,KADOKAWA,カドカワ,KUJIRA,クジラ,2019-04-15,680,B6
9784049127812,None,None,茜さす恋心を、紅く染めてほしいの貴方に。 社会人百合アンソロジー,KADOKAWA,カドカワ,None,None,2019-09-27,830,B6
9784253132534,少年チャンピオン・コミックス・タップ!,ショウネンチャンピオンコミックスタップ,フラグタイム 1,秋田書店,アキタショテン,さと,サト,2014-03-07,680,B6
9784253132541,少年チャンピオン・コミックス・タップ!,ショウネンチャンピオンコミックスタップ,フラグタイム 2,秋田書店,アキタショテン,さと,サト,2014-11-07,680,B6
9784049127492,None,None,青春バンド百合アンソロジー 奏,KADOKAWA,カドカワ,None,None,2019-09-27,750,B6
9784592711568,楽園コミックス,ラクエンコミックス,メジロバナの咲く 1,白泉社,ハクセンシャ,中村明日美子,ナカムラアスミコ,2019-09-30,700,B6
9784758079815,百合姫コミックス,ユリヒメコミックス,ゆりゆり 2,一迅社,,なもり,ナモリ,2019-09-27,852,A5
9784832236455,芳文社コミックス,ホウブンシャコミックス,伊勢さんと志摩さん 1,芳文社,ホウブンシャ,トクヲツム,トクヲツム,2018-11-15,590,B6
9784396791445,フィールコミックスジャム,フィールコミックスジャム,定時にあがれたら 2,犬山あゆ,イヌヤマアユ,祥伝社,ショウデンシャ,2019-10-08,880,A5
9784040653549,None,None,百合な片想いちゃん,KADOKAWA,カドカワ,ゆりかご,ユリカゴ,2019-10-04,1000,A5
9784065175880,KC Kiss,ケーシーキス,おとなになっても 1,講談社,コウダンシャ,志村貴子,シムラタカコ,2019-10-11,440,新書
9784866252247,Lilie comics,リーリエコミックス,相方システム 1,道玄坂書房,ドウゲンザカショボウ,袴田めら,ハカマダメラ,2019-10-11,680,B6
9784866750774,メテオCOMICS,メテオコミックス,春とみどり 2,フレックスコミックス,フレックスコミックス,深海紺,フカウミウミ,2019-10-11,630,B6
9784758079877,百合姫コミックス,ユリヒメコミックス,ハロー、メランコリック! 1,一迅社,イチジンシャ,大沢やよい,オオサワヤヨイ,2019-10-18,680,B6
9784758079860,百合姫コミックス,ユリヒメコミックス,ルミナス=ブルー 2,一迅社,イチジンシャ,岩見樹代子,イワミキヨコ,2019−10-18,680,B6
9784758079884,百合姫コミックス,ユリヒメコミックス,徒然日和 3,一迅社,イチジンシャ,土室圭,ハムロケイ,2019−10-18,680,B6
9784758066839,百合姫コミックス,ユリヒメコミックス,終電で帰さない、たった1つの方法 2,一迅社,イチジンシャ,トクヲツム,トクヲツム,2017−07-18,819,A5
9784758066839,百合姫コミックス,ユリヒメコミックス,終電で帰さない、たった1つの方法 1,一迅社,イチジンシャ,トクヲツム,トクヲツム,2016−09-17,819,A5
9784065173084,講談社コミックス,コウダンシャコミックス,将来的に死んでくれ 7,講談社,コウダンシャ,長門知大,ナガトチヒロ,2019-11-08,450,新書
9784575853773,アクションコミックス,ゲッカンアクションコミックス,初夜百合アンソロジー シロップ [NIGHT],双葉社,フタバシャ,None,None,2019-11-12,780,B6
9784040640761,MFCジーンピクシブ,エムエフシージーンピクシブ,疲れ切った女が死ぬほど癒やされるために。,KADOKAWA,カドカワ,山口えいと,ヤマグチエイト,2019-10-26,580,B6
9784758079952,百合姫コミックス,ユリヒメコミックス,citrus+ 1,一迅社,イチジンシャ,サブロウタ,サブロウタ,2019-11-18,950,A5
9784758079938,百合姫コミックス,ユリヒメコミックス,ぼくは、百合なお姉ちゃんを応援しています,一迅社,イチジンシャ,あおい響,アオイヒビキ,2019-11-18,680,B6
9784758079914,百合姫コミックス,ユリヒメコミックス,きたない君がいちばんかわいい 1,一迅社,イチジンシャ,まにお,マニオ,2019-11-18,680,B6
9784091294739,サンデーうぇぶりコミックス,サンデーウェブリコミックス,はなにあらし 6,小学館,ショウガクカン,古鉢るか,コバチルカ,2019ｰ11ｰ12,600,B6
9784049128857,電撃コミックスNEXT,デンゲキコミックスネクスト,彼女のイデア 1,KADOKAWA,カドカワ,冬芽沙也,フユメサヤ,2019-11-09,650,B6
9784758079495,百合姫コミックス,ユリヒメコミックス,行進子犬に恋文を 3,一迅社,イチジンシャ,玉崎たま,タマサキタマ,2019-06-18,680,B6
9784758079488,百合姫コミックス,ユリヒメコミックス,私の百合はお仕事です! 5,一迅社,イチジンシャ,未幡,ミマン,2019-06-18,680,B6
9784778322984,None,None,淡島百景 3,太田出版,オオタシュッパン,志村貴子,シムラタカコ,2019-03-14,780,B6
9784049128697,電撃コミックスNEXT,デンゲキコミックスネクスト,やがて君になる 8,KADOKAWA,カドカワ,仲谷鳰,ナカタニニオ,2019-11-27,680,B6
9784049128703,電撃コミックスNEXT,デンゲキコミックスネクスト,安達としまむら 1,KADOKAWA,カドカワ,柚原もけ,ユズハラモケ,2019-11-27,650,B6
9784049128666,None,None,エクレア orange あなたに響く百合アンソロジー,KADOKAWA,カドカワ,None,None,2019-11-27,950,B6
9784344845596,BIRZコミックス,バーズコミックス,ふたりべや 7,幻冬舎,ゲントウシャ,雪子,ユキコ,2019-11-22,630,B6
9784785962807,ヤングキングコミックス,ヤングキングコミックス,とどのつまりの有頂天 1,少年画報社,ショウネンガホウシャ,あらた伊里,アラタイリ,2018-09-10,585,B6
9784785964672,ヤングキングコミックス,ヤングキングコミックス,とどのつまりの有頂天 2,少年画報社,ショウネンガホウシャ,あらた伊里,アラタイリ,2019-07-10,600,B6
9784041088432,角川コミックス,カドカワコミックス,不揃いの連理 2,KADOKAWA,カドカワ,みかん氏,ミカンウジ,2019-12-09,780,A5
9784091295002,裏少年サンデーコミックス,ウラショウネンサンデーコミックス,付き合ってあげてもいいかな 3,小学館,ショウガクカン,たみふる,タミフル,2019-12-12,591,B6
9784049127621,it comics,イットコミックス,世界の終わりと魔女の恋 2,KADOKAWA,カドカワ,KUJIRA,クジラ,2019-12-13,680,B6
9784396791476,FC Jam,フィールコミックスジャム,月とすっぴん 1,祥伝社,ショウデンシャ,アケガタユウ,アケガタユウ,2019-12-07,880,A5
9784758020640,百合姫コミックス,ユリヒメコミックス,きみのために世界はある,一迅社,イチジンシャ,雨水汐,ウスイシオ,2019-12-18,852,A5
9784758020657,百合姫コミックス,ユリヒメコミック,スカーレット 2,一迅社,イチジンシャ,結野ちり,ユイノチリ,2019-12-18,680,B6
9784049129311,電撃コミックスNEXT,デンゲキコミックスネクスト,熱帯魚は雪に焦がれる 6,KADOKAWA,カドカワ,萩埜まこと,ハギノマコト,2019-12-27,650,B6
9784040642468,BRIDGE COMICS,ブリッジコミックス,マイ・ブロークン・マリコ,KADOKAWA,カドカワ,平庫ワカ,ヒラコワカ,2020-01-08,650,B6
9784253142366,ヤングチャンピオン・コミックス,ヤングチャンピオンコミックス,上伊那ぼたん、酔へる姿は百合の花 1,秋田書店,アキタショテン,塀,ヘイ,2020-01-20,600,B6
9784040642840,MFコミックスフラッパーシリーズ,エムエフコミックスフラッパーシリーズ,恋する名画 1,KADOKAWA,カドカワ,みもと,ミモト,2020-01-23,600,B6
9784091575845,サンデーGXコミックス,サンデージーエックスコミックス,ヴァンピアーズ 2,小学館,ショウガクカン,アキリ,アキリ,2020-01-17,600,B6
9784758020763,百合姫コミックス,ユリヒメコミックス,欠けた月とドーナツ 1,一迅社,イチジンシャ,雨水汐,ウスイシオ,2020-01-17,852,A5
9784758020749,百合姫コミックス,ユリヒメコミックス,ささやくように恋を唄う 2,一迅社,イチジンシャ,竹嶋えく,タケシマエク,2020-01-17,680,B6
9784758020862,百合姫コミックス,ユリヒメコミックス,海猫荘days 2,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2020-01-17,680,B6
9784049129748,電撃コミックスNEXT,デンゲキコミックスネクスト,一度だけでも、後悔してます。 1,KADOKAWA,カドカワ,宮原都,ミヤハラミヤコ,2020-01-27,650,B6
9784776750840,MISSY百合コミックス,ミッシーユリコミックス,新装版 とろとろ姫あわせ,宙出版,オオゾラシュッパン,長倉けいこ,ナガクラケイコ,2020-01-28,680,B6
9784776750857,MISSY百合コミックス,ミッシーユリコミックス,新装版 モモイロデイズ,宙出版,オオゾラシュッパン,蒼井はな,アオイハナ,2020-01-28,680,B6
9784040642888,MFC キューン,エムエフシーキューン,百合ドリル 自由研究編,KADOKAWA,カドカワ,None,None,2020-01-27,680,B6
9784049129861,電撃コミックスNEXT,デンゲキコミックスネクスト,病月 1,KADOKAWA,カドカワ,箕田海道,ミノタカイドウ,2020-01-27,650,B6
9784832240926,まんがタイムきららコミックスつぼみ,マンガタイムキララコミックスツボミ,ロンリーウルフ・ロンリーシープ,芳文社,ホウブンシャ,水谷フーカ,ミズタニフーカ,2011-12-12,848,A5
9784088822419,ジャンプコミックス+,ジャンプコミックスプラス,隣の部屋から喘ぎ声がするんですけど… 2,集英社,シュウエイシャ,鈴木先輩,スズキセンパイ,2020-02-04,630,B6
9784088821863,ジャンプコミックス+,ジャンプコミックスプラス,すいとーと! 1,集英社,シュウエイシャ,沖野ユイ,オキノユイ,2020-02-04,622200,B6
9784801968554,バンブーコミックス,バンブーコミックス,できそこないの姫君たち 3,竹書房,竹書房,アジイチ,アジイチ,2020-01-30,660,B6
9784049129687,電撃コミックスNEXT,デンゲキコミックスネクスト,ユニコーンと寂しがりや少女 1,KADOKAWA,カドカワ,藤松盟,フジマツメイ,2020-01-27,650,B6
9784049130669,None,None,SQ 君の名前から始まる,KADOKAWA,カドカワ,壇九,タンジュウ,2020-02-10,1200,B6
9784800009364,BLADE COMICS pixiv,ブレードコミックスピクシブ,さよならローズガーデン 3,マッグガーデン,マッグガーデン,毒田ペパ子,ドクターペパコ,2020-02-07,620,B6
9784758076029,百合姫コミックス,ユリヒメコミックス,リンゲージ 完全版,一迅社,イチジンシャ,倉田嘘,クラタウソ,2016-10-18,680,B6
9784758076005,百合姫コミックス,ユリヒメコミックス,課金済ガールフレンド,一迅社,イチジンシャ,沼地どろまる,ヌマチドロマル,2016-10-18,680,B6
9784040645346,MFC,エムエフシー,主従百合アンソロジー Rhodanthe,KADOKAWA,カドカワ,None,None,2020-02-22,680,B6
9784823600272,girls×garden,ガールズガーデンコミックス,Qualia Envy,GOT,ジーオーティー,None,None,2020-02-29,890,B6
9784823600289,girls×garden,ガールズガーデンコミックス,Qualia Jealousy,GOT,ジーオーティー,None,None,2020-02-29,890,B6
9784040643601,MFC キューン,エムエフシーキューン,明るい記憶喪失 5,KADOKAWA,カドカワ,奥たまむし,オクタマムシ,2020-02-28,630,B6
9784396791513,FC Jam,フィールコミックスジャム,ヒトゴトですから! 1,祥伝社,ショウデンシャ,ユニ,ユニ,2020-03-06,680,B6
9784396791537,FC Jam,フィールコミックスジャム,月とすっぴん 2,祥伝社,ショウデンシャ,アケガタユウ,アケガタユウ,2020-03-06,880,A5
9784396791520,FC Jam,フィールコミックスジャム,定時にあがれたら 3,祥伝社,ショウデンシャ,犬井あゆ,イヌイアユ,2020-03-06,880,A5
9784065188330,ヤングマガジン,ヤングマガジン,この愛を終わらせてくれないか 1,講談社,コウダンシャ,筒井いつき,ツツイイツキ,2020-03-11,660,B6
9784047358584,BEAM COMIX,ビームコミックス,水野と茶山 上,KADOKAWA,カドカワ,西尾雄太,ニシオユウタ,2020-01-11,720,B6
9784047358591,BEAM COMIX,ビームコミックス,水野と茶山 下,KADOKAWA,カドカワ,西尾雄太,ニシオユウタ,2020-01-11,720,B6
9784065189481,KC Kiss,ケーシーキス,おとなになっても 2,講談社,コウダンシャ,志村貴子,シムラタカコ,2020-03-13,450,新書
9784866252315,Lilie comics,リーリエコミックス,百合と声と風纏い 2,道玄坂書房,ドウゲンザカショボウ,蓮冥,レンメイ,2020-03-13,680,B6
9784758021029,百合姫コミックス,ユリヒメコミックス,双子百合えっちアンソロジー,一迅社,イチジンシャ,None,None,2020-03-27,900,A5
9784049131130,電撃コミックNEXT,デンゲキコミックスネクスト,やがて君になる公式コミックアンソロジー 2,KADOKAWA,カドカワ,None,None,2020-03-26,650,B6
9784758021012,百合姫コミックス,ユリヒメコミックス,割り切った関係ですから。 2,一迅社,イチジンシャ,FLOWERCHILD,フラワーチャイルド,2020-03-18,680,B6
9784758068550,百合姫コミックス,ユリヒメコミックス,イケメン女と箱入り娘 1,一迅社,イチジンシャ,majoccoid,マジョッコイド,2020-03-27,630,B6
9784575854404,月刊アクションコミックス,ゲッカンアクションコミックス,初夜百合アンソロジー シロップ[HONEY],双葉社,フタバシャ,None,None,2020-04-27,780,B6
9784040645698,MFコミックスフラッパーシリーズ,エムエフコミックスフラッパーシリーズ,悪戯プライバシー,KADOKAWA,カドカワ,ちこれ,チコレ,2020-04-23,630,B6
9784098500956,裏少年サンデーコミックス,ウラショウネンサンデーコミックス,付き合ってあげてもいいかな 4,小学館,ショウガクカン,たみふる,タミフル,2020-04-10,591,B6
9784758021111,百合姫コミックス,ユリヒメコミックス,モデルちゃんと地味マネさん 2,一迅社,イチジンシャ,たねこ,タネコ,2020-04-16,680,B6
9784091575951,サンデーGXコミックス,サンデージーエックスコミックス,ヴァンピアーズ 3,小学館,ショウガクカン,アキリ,アキリ,2020-05-19,600,B6
9784592711681,楽園コミックス,ラクエンコミックス,不条理なあたし達 2,白泉社,ハクセンシャ,竹宮ジン,タケミヤジン,2020-04-30,770,B6
9784758021166,百合姫コミックス,ユリヒメコミックス,ストロング! アルコール百合アンソロジー,一迅社,イチジンシャ,None,None,2020-05-18,900,A5
9784758021173,百合姫コミックス,ユリヒメコミックス,ストロベリーパルフェ おねロリ百合アンソロジー,一迅社,イチジンシャ,None,None,2020-05-18,900,A5
